month,cancellation_rate,late_delivery_rate,avg_delivery_days
2016-09,0.5,0.25,54.81319444444444
2016-10,0.09567901234567901,0.009259259259259259,19.57857175925926
2016-12,0.0,0.0,4.693020833333334
2017-01,0.01625,0.02875,12.647043518518517
2017-02,0.0348314606741573,0.029775280898876405,13.168825248986131
2017-03,0.024235645041014168,0.0529455630126771,12.951184487831313
2017-04,0.011231281198003328,0.07529118136439268,14.91791250040205
2017-05,0.016216216216216217,0.034594594594594595,11.322362975369588
2017-06,0.012326656394453005,0.03728813559322034,12.01157270438301
2017-07,0.01987083954297069,0.03303527074018877,11.592732387200606
2017-08,0.01362271992611406,0.03209420457169245,11.147124655510508
2017-09,0.01353558926487748,0.05040840140023337,11.85100652889335
2017-10,0.01813863096523429,0.051176851651911034,11.856699698526127
2017-11,0.016039236479321314,0.13825556733828206,15.161131699241778
2017-12,0.00934249955931606,0.08143839238498149,15.394918530107287
2018-01,0.011280781400467739,0.06383271426606135,14.080562613956085
2018-02,0.015309155766944114,0.15591557669441142,16.94714315095869
2018-03,0.005963111912356122,0.20746082374150604,16.30141017440938
2018-04,0.002882259691598213,0.05202478743334774,11.499241053673193
2018-05,0.005819874872690237,0.0808962607303943,11.419028935356678
2018-06,0.0035673747365007297,0.013458731960434572,9.239216293167347
2018-07,0.009376986649713922,0.043865225683407505,8.958636237154959
2018-08,0.013974201474201474,0.10135135135135136,7.732779720458137
2018-09,0.9375,0.0,
2018-10,1.0,0.0,
